Date,Open,High,Low,Close,Volume,Change
2022-01-03,82900,83200,82300,82600,778020,0.00486618005
2022-01-04,83000,84000,82700,83500,959153,0.0108958838
2022-01-05,85100,87100,84800,85900,3678719,0.028742515
2022-01-06,85000,86600,84700,85600,1767632,-0.00349243306
2022-01-07,85800,87200,85700,86700,1905888,0.0128504673
2022-01-10,86100,86500,83500,83800,1818497,-0.0334486736
2022-01-11,84500,85400,83500,84100,1225547,0.00357995227
2022-01-12,84500,85100,84100,85100,1069621,0.0118906064
2022-01-13,85000,85800,84100,84900,1131609,-0.00235017626
2022-01-14,84100,84500,83600,83800,941394,-0.0129564193
2022-01-17,83600,83900,82200,82700,1032987,-0.0131264916
2022-01-18,83100,83500,81900,82200,932928,-0.00604594921
2022-01-19,81300,82700,81000,81000,1345861,-0.0145985401
2022-01-20,80500,81500,80000,81200,1154871,0.0024691358
2022-01-21,80100,80500,79600,80100,1450121,-0.013546798
2022-01-24,79800,80500,78600,79000,1287559,-0.013732834
2022-01-25,79000,79000,75200,76500,2484510,-0.0316455696
2022-01-26,76600,78700,76200,77700,1684912,0.0156862745
2022-01-27,78100,81000,77500,79100,2992226,0.018018018
2022-01-28,79400,82000,78100,82000,1896555,0.0366624526
2022-02-03,81900,83300,81400,81500,1731174,-0.00609756098
2022-02-04,81500,81800,80100,80700,1239261,-0.00981595092
2022-02-07,80300,80500,77900,78200,2077473,-0.0309789343
2022-02-08,79400,80300,78500,78900,1550679,0.00895140665
2022-02-09,80400,80400,78900,80300,1283569,0.0177439797
2022-02-10,80400,80500,78600,79700,1462116,-0.00747198007
2022-02-11,79100,79700,78200,79000,896933,-0.00878293601
2022-02-14,77900,78400,77000,77000,1363120,-0.0253164557
2022-02-15,77800,78200,77000,77600,931425,0.00779220779
2022-02-16,78900,79500,78400,79500,1137433,0.0244845361
2022-02-17,79200,79900,78400,79500,1906307,0
2022-02-18,78500,78900,78000,78700,1095147,-0.0100628931
2022-02-21,77700,79000,77300,78900,818908,0.00254129606
2022-02-22,77400,78200,77300,77700,852374,-0.0152091255
2022-02-23,78200,78300,77400,78000,687070,0.00386100386
2022-02-24,77300,77500,72700,73400,2937918,-0.058974359
