Date,Open,High,Low,Close,Volume,Change
2022-01-03,79400,79800,78200,78600,13502112,0.00383141762
2022-01-04,78800,79200,78300,78700,12427416,0.00127226463
2022-01-05,78800,79000,76400,77400,25470640,-0.0165184244
2022-01-06,76700,77600,76600,76900,12931954,-0.00645994832
2022-01-07,78100,78400,77400,78300,15163757,0.0182054616
2022-01-10,78100,78100,77100,78000,9947422,-0.00383141762
2022-01-11,78400,79000,78000,78900,13221123,0.0115384615
2022-01-12,79500,79600,78600,78900,11000502,0
2022-01-13,79300,79300,77900,77900,13889401,-0.0126742712
2022-01-14,77700,78100,77100,77300,10096725,-0.00770218228
2022-01-17,77600,77800,76900,77500,8785122,0.00258732212
2022-01-18,77600,77800,76600,77000,9592788,-0.0064516129
2022-01-19,76500,76900,76100,76300,10598290,-0.00909090909
2022-01-20,76200,76700,75900,76500,9708168,0.00262123198
2022-01-21,75800,75800,74700,75600,15774888,-0.0117647059
2022-01-24,75400,75800,74700,75100,13691134,-0.00661375661
2022-01-25,74800,75000,73200,74000,17766704,-0.0146471372
2022-01-26,73900,74400,73100,73300,12976730,-0.00945945946
2022-01-27,73800,74000,71300,71300,22274777,-0.0272851296
2022-01-28,71300,73700,71200,73300,21367447,0.0280504909
2022-02-03,74900,74900,73300,73300,17744721,0
2022-02-04,74300,74600,73400,74000,12730034,0.00954979536
2022-02-07,73500,73600,72400,73000,14240838,-0.0135135135
2022-02-08,73800,74200,73000,73500,11736666,0.00684931507
2022-02-09,74300,74700,74000,74700,9699122,0.0163265306
2022-02-10,75600,75800,74700,75400,17746033,0.0093708166
2022-02-11,75000,75500,74600,74900,12205407,-0.00663129973
2022-02-14,74400,74500,73100,73700,13993255,-0.0160213618
2022-02-15,74100,74200,73100,73700,9320365,0
2022-02-16,74600,74900,74200,74800,10767386,0.0149253731
2022-02-17,75000,75600,74500,75000,13605382,0.00267379679
2022-02-18,74600,74800,73700,74300,10122226,-0.00933333333
2022-02-21,73200,74300,72600,74200,10489717,-0.00134589502
2022-02-22,73000,73400,72800,73400,11692469,-0.0107816712
2022-02-23,73800,73800,72800,73000,10397964,-0.00544959128
2022-02-24,72300,72300,71300,71500,15759283,-0.0205479452
2022-02-25,72100,72600,71900,71900,13168484,0.00559440559
2022-02-28,71100,72100,71000,72100,17781783,0.00278164117
2022-03-02,72300,72400,71500,71700,12481430,-0.00554785021
2022-03-03,72300,73100,72200,72900,13232638,0.0167364017
2022-03-04,72700,72700,71200,71500,13409634,-0.0192043896
2022-03-07,70000,70600,69900,70100,18617138,-0.0195804196
2022-03-08,68800,70000,68700,69500,15828269,-0.00855920114
2022-03-10,70800,71200,70500,71200,21159248,0.0244604317
2022-03-11,70500,70700,69700,70000,15787655,-0.0168539326
2022-03-14,70000,70200,69600,70200,9040993,0.00285714286
2022-03-15,69800,70100,69500,69500,10258562,-0.00997150997
2022-03-16,70200,70500,69700,70400,10175750,0.0129496403
2022-03-17,71200,71800,70900,71200,17646315,0.0113636364
2022-03-18,70600,70900,70200,70700,14410038,-0.00702247191
2022-03-21,70900,71000,69900,69900,11169002,-0.0113154173
2022-03-22,69900,70500,69900,70300,9402666,0.00572246066
2022-03-23,70600,71200,70300,70500,12398025,0.00284495021
2022-03-24,69600,70300,69600,69800,37943357,-0.00992907801
2022-03-25,70100,70200,69600,69800,12986010,0
2022-03-28,69500,69900,69200,69700,12619289,-0.00143266476
2022-03-29,70000,70300,69800,70200,13686208,0.00717360115
2022-03-30,70300,70500,69800,69900,12670187,-0.00427350427
2022-03-31,69900,70200,69600,69600,12510366,-0.00429184549
2022-04-01,69500,69500,69000,69100,15916846,-0.00718390805
2022-04-04,68900,69300,68600,69300,11107905,0.00289435601
2022-04-05,69400,69600,69100,69200,8467248,-0.00144300144
2022-04-06,68600,68800,68500,68500,15517308,-0.0101156069
2022-04-07,68500,68500,68000,68000,20683327,-0.00729927007
2022-04-08,68100,68300,67700,67800,15453191,-0.00294117647
2022-04-11,67800,68100,67400,67900,12263735,0.00147492625
2022-04-12,67600,67700,67000,67000,13924389,-0.0132547865
2022-04-13,67300,69000,67200,68700,17378619,0.0253731343
2022-04-14,68700,68700,67500,67500,16409494,-0.0174672489
2022-04-15,67200,67300,66500,66600,13176415,-0.0133333333
2022-04-18,66500,67100,66100,66700,10119203,0.0015015015
2022-04-19,67100,68000,67000,67300,12959434,0.00899550225
2022-04-20,67000,67400,66500,67400,16693293,0.0014858841
2022-04-21,67600,68300,67500,67700,12847448,0.00445103858
2022-04-22,67200,67300,66700,67000,11791478,-0.0103397341
2022-04-25,66500,66700,66300,66300,11016474,-0.0104477612
2022-04-26,66400,66700,66100,66100,12946923,-0.00301659125
2022-04-27,65400,65500,64900,65000,18122084,-0.0166414523
2022-04-28,65400,65500,64500,64800,16895527,-0.00307692308
2022-04-29,65100,67600,65000,67400,26190390,0.0401234568
2022-05-02,66600,67600,66500,67300,14106184,-0.00148367953
2022-05-03,67400,68400,67300,67500,14168875,0.0029717682
2022-05-04,68000,68400,67500,67900,11505248,0.00592592593
2022-05-06,67000,67100,66500,66500,14356156,-0.0206185567
2022-05-09,66300,66900,66100,66100,11858736,-0.00601503759
2022-05-10,65900,66300,65300,65700,17235605,-0.00605143722
2022-05-11,65500,66300,65200,65700,12330920,0
2022-05-12,65200,65500,64900,64900,16414188,-0.0121765601
2022-05-13,65300,66700,65200,66500,14551536,0.0246533128
2022-05-16,67100,67400,66100,66300,11937555,-0.0030075188
2022-05-17,66600,67900,66600,67600,15680447,0.0196078431
2022-05-18,68300,68700,67600,68100,16486319,0.0073964497
2022-05-19,66500,67600,66500,67500,17073727,-0.00881057269
2022-05-20,67800,68400,67700,68000,12109671,0.00740740741
2022-05-23,68800,68800,67600,67900,13684088,-0.00147058824
2022-05-24,67500,67700,66500,66500,15482576,-0.0206185567
2022-05-25,66700,67100,65900,66400,15150490,-0.0015037594
2022-05-26,66300,67200,65500,65900,15970890,-0.00753012048
2022-05-27,66700,66900,66200,66500,11405555,0.0091047041
2022-05-30,67500,67800,66900,67700,14255484,0.0180451128
2022-05-31,67500,67500,66700,67400,24365002,-0.00443131462
2022-06-02,66600,67000,66400,66700,14959443,-0.0103857567
2022-06-03,67200,67300,66800,66800,8222883,0.00149925037
2022-06-07,66200,66400,65400,65500,19355755,-0.0194610778
2022-06-08,65400,65700,65300,65300,12483180,-0.00305343511
2022-06-09,65100,65200,64500,65200,25790725,-0.00153139357
