Date,Open,High,Low,Close,Volume,RSI,SMA_5,SMA_20,EMA,MACD,Signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC
2022-01-03,82900,83200,82300,82600,778020,,,,,,,,,,,,,
2022-01-04,83000,84000,82700,83500,959153,,,,,,,,,,,,,
2022-01-05,85100,87100,84800,85900,3678719,,,,,,,,,,,,,
2022-01-06,85000,86600,84700,85600,1767632,,,,,,,,,,,,,
2022-01-07,85800,87200,85700,86700,1905888,,84860.0,,,,,,,,,,,
2022-01-10,86100,86500,83500,83800,1818497,,85100.0,,,,,,,,,,,
2022-01-11,84500,85400,83500,84100,1225547,,85220.0,,,,,,,,,,,
2022-01-12,84500,85100,84100,85100,1069621,,85060.0,,,,,,,,,,,
2022-01-13,85000,85800,84100,84900,1131609,,84920.0,,,,,,,,,,,
2022-01-14,84100,84500,83600,83800,941394,,84340.0,,84600.0,,,,,,,,,
2022-01-17,83600,83900,82200,82700,1032987,,84120.0,,84254.54545454546,,,,,,,,100.0,0.1210653753026536
2022-01-18,83100,83500,81900,82200,932928,,83740.0,,83880.99173553719,,,,,,,,-1300.0,-1.556886227544907
2022-01-19,81300,82700,81000,81000,1345861,,82920.0,,83357.17505634861,,,,,,,,-4900.0,-5.704307334109426
2022-01-20,80500,81500,80000,81200,1154871,,82180.0,,82964.96140973977,,,,,,,-83.33333333333333,-4400.0,-5.1401869158878455
2022-01-21,80100,80500,79600,80100,1450121,41.25874125874126,81440.0,,82444.05933524163,,,,,,,-93.42105263157895,-6600.0,-7.612456747404838
2022-01-24,79800,80500,78600,79000,1287559,38.1023348236463,80700.0,,81817.86672883407,,,,,,,-95.34883720930233,-4800.0,-5.7279236276849606
2022-01-25,79000,79000,75200,76500,2484510,32.09308313753259,79560.0,,80850.98186904605,,,,,,,-89.16666666666667,-7600.0,-9.036860879904873
2022-01-26,76600,78700,76200,77700,1684912,37.21192697304413,78900.0,,80278.07607467404,,,,,12.10594315245478,9.586449975066865,-79.16666666666667,-7400.0,-8.695652173913048
2022-01-27,78100,81000,77500,79100,2992226,42.64402966983772,78480.0,,80063.8804247333,,,,,22.059980334316617,13.840134883640692,-65.48672566371681,-5800.0,-6.831566548881041
2022-01-28,79400,82000,78100,82000,1896555,51.92269620535851,78860.0,82375.0,80415.90216569089,,,,,39.83251702194764,24.666146836239676,-35.84905660377358,-1800.0,-2.1479713603818618
2022-02-03,81900,83300,81400,81500,1731174,50.40854993901495,79360.0,82320.0,80613.010862838,,,92.36421678443989,97.45473892814664,52.699393332220176,38.197296896161475,-40.56603773584906,-1200.0,-1.45102781136639
2022-02-04,81500,81800,80100,80700,1239261,47.99682502528035,80200.0,82180.0,80628.82706959473,,,73.31294429216928,88.55905369220307,58.49056603773584,50.34082546396788,-48.113207547169814,-1500.0,-1.8248175182481785
2022-02-07,80300,80500,77900,78200,2077473,41.34050693094139,80300.0,81795.0,80187.22214785023,,,0.0,55.22572035886973,47.85960641103671,53.01652192699757,-67.74193548387096,-2800.0,-3.4567901234567877
2022-02-08,79400,80300,78500,78900,1550679,43.69507191402296,80260.0,81460.0,79953.18175733201,,,22.250263362552307,31.85440255157387,42.2245308670477,49.52490110527341,-57.47126436781609,-2300.0,-2.832512315270941
2022-02-09,80400,80400,78900,80300,1283569,48.175525298350735,79920.0,81140.0,80016.23961963528,,,75.37478992241125,32.5416844283212,45.410861093614336,45.1649994572329,-38.55421686746988,200.0,0.24968789013732895
2022-02-10,80400,80500,78600,79700,1462116,46.46887094194396,79560.0,80935.0,79958.74150697431,,,75.03072757573818,57.55192695356726,53.17669144008985,46.93736113358395,-44.44444444444444,700.0,0.8860759493670933
2022-02-11,79100,79700,78200,79000,896933,44.48871038864013,79220.0,80680.0,79784.42486934262,,,46.05991218267924,65.48847656027624,54.638306311666405,51.07528628179019,-53.08641975308642,2500.0,3.267973856209161
2022-02-14,77900,78400,77000,77000,1363120,39.33170383311263,78980.0,80275.0,79278.16580218941,,,0.0,40.36354658613916,41.56378600823044,49.792927919995556,-77.77777777777777,-700.0,-0.9009009009009028
2022-02-15,77800,78200,77000,77600,931425,41.52172522154129,78720.0,79910.0,78973.04474724588,,,24.76329262227704,23.60773493498544,32.92181069958846,43.0413010064951,-70.37037037037037,-1500.0,-1.896333754740831
2022-02-16,78900,79500,78400,79500,1137433,47.93157738649562,78560.0,79695.0,79068.85479320117,,,100.0,41.58776420742569,34.97942386831274,36.48834019204387,-46.91358024691358,-2500.0,-3.0487804878048808
2022-02-17,79200,79900,78400,79500,1906307,47.93157738649562,78520.0,79535.0,79147.24483080096,,,100.0,74.92109754075902,43.0649742073842,36.98873625842847,-53.521126760563384,-2000.0,-2.4539877300613466
2022-02-18,78500,78900,78000,78700,1095147,45.496369951462555,78460.0,79360.0,79065.92758883715,,,71.68321813202579,90.56107271067526,42.18313999221665,40.07584602263786,-73.01587301587301,-2000.0,-2.478314745972743
2022-02-21,77700,79000,77300,78900,818908,46.231838521912664,78840.0,79255.0,79035.7589363213,,,73.48240145262281,81.72187319488286,34.540576794097895,39.929563664566246,-69.84126984126983,700.0,0.8951406649616356
2022-02-22,77400,78200,77300,77700,852374,42.52409485181266,78860.0,79080.0,78792.89367517197,-1524.7955940890824,-1927.0548374434713,0.0,48.38853986154953,22.75132275132273,33.158346512545755,-88.88888888888889,-1200.0,-1.520912547528519
2022-02-23,78200,78300,77400,78000,687070,43.73888583055283,78560.0,78975.0,78648.73118877706,-1472.3498980812874,-1836.1138495710345,22.465000505293222,31.982467319305343,20.701058201058174,25.997652582159592,-79.16666666666667,-2300.0,-2.8642590286425906
2022-02-24,77300,77500,72700,73400,2937918,32.42296835724975,77340.0,78695.0,77694.41642718123,-1781.4326160457713,-1825.177602865982,0.0,7.488333501764406,13.639601139601112,19.03066069732733,-91.02564102564102,-6300.0,-7.90464240903388
2022-02-25,74800,74900,73300,73800,1455219,34.0214644186366,76360.0,78560.0,76986.34071314828,-1971.3813823592936,-1854.4183587646444,11.575864225861286,11.346954910384836,14.636752136752108,16.325803825803792,-85.8974358974359,-5200.0,-6.5822784810126596
2022-02-28,72300,73800,71500,73800,2079712,34.02146441863661,75340.0,78365.0,76407.0060380304,-2097.7357561677927,-1903.081838245274,14.126084474883193,8.567316233581492,16.210826210826184,14.829059829059796,-74.44444444444444,-3200.0,-4.155844155844157
2022-03-02,72800,73200,72000,72100,2278836,30.469005712995383,74220.0,78015.0,75623.91403111578,-2308.438063212423,-1984.1530832387039,0.0,8.567316233581492,15.441595441595412,15.42972459639123,-93.33333333333333,-5500.0,-7.0876288659793785
2022-03-03,73300,74200,72800,73800,2118453,37.49743905769527,73380.0,77605.0,75292.29329818564,-2311.598696216475,-2049.642205834258,100.0,38.04202815829439,19.86772486772484,17.17338217338214,-72.61904761904762,-5700.0,-7.169811320754715
2022-03-04,73500,73800,72800,73100,1000955,35.888749584790716,73320.0,77185.0,74893.69451669735,-2343.5724263909797,-2108.4282499456026,77.1116919801529,59.037230660050966,17.698412698412668,17.669244335910967,-80.95238095238095,-6400.0,-8.050314465408803
2022-03-07,71900,72000,70500,71100,1645780,31.703729004656147,72780.0,76705.0,74203.93187729783,-2501.459851155727,-2187.0345701876277,17.56754643752671,64.89307947255988,17.603850050658533,18.38999587226534,-93.61702127659575,-7600.0,-9.656925031766207
2022-03-08,69000,70800,68900,69600,2039889,28.974722890103237,71940.0,76275.0,73366.85335415277,-2716.312279661928,-2292.8901120824876,0.0,31.559746139226537,10.598078044886526,15.300113597985904,-93.63636363636364,-9300.0,-11.787072243346008
2022-03-10,70700,71100,70200,70700,2006115,33.49567747925944,71660.0,75865.0,72881.970926125,-2765.939540974068,-2387.499997860804,53.045936298422276,23.537827578649665,9.703417150225631,12.635115081923558,-83.63636363636364,-7000.0,-9.009009009009006
2022-03-11,70200,70400,69500,70000,1772044,32.09559791440946,70900.0,75350.0,72357.97621228409,-2829.1410757231934,-2475.8282134332817,45.138313201830776,32.72808316675102,11.206120612061177,10.502538602391107,-89.10891089108911,-8000.0,-10.256410256410254
