Date,Open,High,Low,Close,Volume,RSI,SMA_5,SMA_20,EMA,MACD,Signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC
2022-01-03,132000,132500,128000,128500,3782213,,,,,,,,,,,,,
2022-01-04,129500,130000,127500,128500,3622369,,,,,,,,,,,,,
2022-01-05,129000,129000,121500,125500,7414954,,,,,,,,,,,,,
2022-01-06,123500,127000,123000,125000,3725569,,,,,,,,,,,,,
2022-01-07,127000,129000,126500,127000,3270119,,126900.0,,,,,,,,,,,
2022-01-10,126500,127000,123000,124500,3449197,,126100.0,,,,,,,,,,,
2022-01-11,125500,128500,124500,128000,3958787,,126000.0,,,,,,,,,,,
2022-01-12,129500,130000,126500,128500,3552174,,126600.0,,,,,,,,,,,
2022-01-13,128500,130000,128000,129500,4155984,,127500.0,,,,,,,,,,,
2022-01-14,128500,129000,126000,128500,3769648,,127800.0,,127350.0,,,,,,,,,
2022-01-17,127500,128000,124500,127000,3730393,,128300.0,,127286.36363636363,,,,,,,,-1500.0,-1.1673151750972721
2022-01-18,126500,127500,125000,126500,3607850,,128000.0,,127143.38842975206,,,,,,,,-2000.0,-1.5564202334630295
2022-01-19,123500,128500,123500,127000,4094609,,127700.0,,127117.31780616078,,,,,,,,1500.0,1.195219123505975
2022-01-20,126000,126500,123500,125000,5441986,,126800.0,,126732.35093231336,,,,,,,-68.18181818181819,0.0,0.0
2022-01-21,121500,122500,118000,119000,6465040,30.61224489795918,124900.0,,125326.46894462002,,,,,,,-91.66666666666667,-8000.0,-6.299212598425196
2022-01-24,116500,120500,116500,119000,4883822,30.612244897959183,123300.0,,124176.20186378002,,,,,,,-81.48148148148148,-5500.0,-4.417670682730924
2022-01-25,118000,120000,116500,118000,5702595,29.228640608785888,121600.0,,123053.25607036547,,,,,,,-88.88888888888889,-10000.0,-7.8125
2022-01-26,119000,119500,117500,117500,3416240,28.53419687773285,119700.0,,122043.57314848085,,,,,12.345679012345677,14.852225963337075,-92.5925925925926,-11000.0,-8.560311284046696
2022-01-27,119500,119500,111000,113500,6679404,23.685864777466264,117400.0,,120490.19621239342,,,,,10.558804418453539,11.85293480615118,-86.84210526315789,-16000.0,-12.355212355212352
2022-01-28,115000,121500,114500,120500,4776510,42.19592703915653,117700.0,124325.0,120491.97871923097,,,,,23.5217673814165,15.475416937405237,-50.0,-8000.0,-6.22568093385214
2022-02-03,124500,127000,124000,124000,5171178,48.87329602533207,118700.0,124100.0,121129.8007702799,,,99.99999999999999,66.66666666666667,43.859649122807014,25.980073640892346,-31.57894736842105,-3000.0,-2.3622047244094446
2022-02-04,125500,127000,124000,124500,3037097,49.766048212655164,120000.0,123900.0,121742.56426659264,,,100.00000000000001,100.0,63.1578947368421,43.513103747021866,-28.94736842105263,-2000.0,-1.5810276679841917
